requested_density,effective_density_mean,mode,runs,av_fraction,flow_all_mean,flow_all_std,flow_all_sem,flow_all_ci95_low,flow_all_ci95_high,flow_background_mean,flow_background_std,flow_background_sem,flow_background_ci95_low,flow_background_ci95_high,mean_speed_all_mean,mean_speed_all_std,mean_speed_all_sem,mean_speed_all_ci95_low,mean_speed_all_ci95_high,mean_speed_background_mean,mean_speed_background_std,mean_speed_background_sem,mean_speed_background_ci95_low,mean_speed_background_ci95_high,mean_speed_priority_mean,mean_speed_priority_std,mean_speed_priority_sem,mean_speed_priority_ci95_low,mean_speed_priority_ci95_high,mean_priority_time_loss_mean,mean_priority_time_loss_std,mean_priority_time_loss_sem,mean_priority_time_loss_ci95_low,mean_priority_time_loss_ci95_high,stopped_fraction_all_mean,stopped_fraction_all_std,stopped_fraction_all_sem,stopped_fraction_all_ci95_low,stopped_fraction_all_ci95_high,stopped_fraction_priority_mean,stopped_fraction_priority_std,stopped_fraction_priority_sem,stopped_fraction_priority_ci95_low,stopped_fraction_priority_ci95_high,lane_change_rate_all_mean,lane_change_rate_all_std,lane_change_rate_all_sem,lane_change_rate_all_ci95_low,lane_change_rate_all_ci95_high,rule_requests_mean,rule_requests_std,rule_requests_sem,rule_requests_ci95_low,rule_requests_ci95_high,rule_applied_mean,rule_applied_std,rule_applied_sem,rule_applied_ci95_low,rule_applied_ci95_high,rule_rejected_mean,rule_rejected_std,rule_rejected_sem,rule_rejected_ci95_low,rule_rejected_ci95_high,active_av_count_mean_mean,active_av_count_mean_std,active_av_count_mean_sem,active_av_count_mean_ci95_low,active_av_count_mean_ci95_high,policy_left_requests_mean,policy_left_requests_std,policy_left_requests_sem,policy_left_requests_ci95_low,policy_left_requests_ci95_high,policy_right_requests_mean,policy_right_requests_std,policy_right_requests_sem,policy_right_requests_ci95_low,policy_right_requests_ci95_high,policy_stay_actions_mean,policy_stay_actions_std,policy_stay_actions_sem,policy_stay_actions_ci95_low,policy_stay_actions_ci95_high
0.1,0.1,baseline1_hdv,20,1.0,0.46846268125,0.0003240216409557308,7.24534415358044e-05,0.46832067250458986,0.46860468999541016,0.46720328749999923,0.00032359172390980057,7.235730916186581e-05,0.46706146717404196,0.4673451078259565,4.684626812500001,0.003240216409556434,0.0007245344153578486,4.6832067250459,4.6860468999541025,4.683742230576439,0.003244027307360046,0.0007253865580122666,4.6823204729227355,4.685163988230143,5.0375749999999995,0.02331662779174862,0.005213756474841073,5.027356037309311,5.047793962690688,0.16040416666666668,0.003886104631958116,0.0008689594124735149,0.1587010062182186,0.16210732711511477,1.075e-05,2.513123449750172e-06,5.619514869490161e-07,9.648575085579929e-06,1.1851424914420072e-05,0.001425,0.0008626001086067756,0.00019288324802434515,0.0010469488338722835,0.0018030511661277166,0.000548125,6.20861296909382e-05,1.3882880644880583e-05,0.000520914553936034,0.000575335446063966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.1,baseline2_matched,20,1.0,0.47031042500000036,0.0003350339544852146,7.491586969995104e-05,0.4701635898953885,0.47045726010461225,0.46882462500000044,0.00033449521326522165,7.47954035009325e-05,0.4686780260091386,0.4689712239908623,4.703104250000001,0.0033503395448480472,0.0007491586969985938,4.701635898953883,4.704572601046118,4.699996240601526,0.0033533354713427732,0.0007498286065283739,4.69852657653273,4.7014659046703215,5.9432,0.011230128649026424,0.002511133105529096,5.938278179113163,5.948121820886837,0.009466666666666661,0.0018716881081710744,0.00041852218425485015,0.008646363185527155,0.010286970147806168,1.89375e-05,5.608895073663659e-06,1.254187066337563e-06,1.6479293349978375e-05,2.1395706650021624e-05,0.0,0.0,0.0,0.0,0.0,0.0015391250000000001,0.0002017387820529571,4.511016303684266e-05,0.0014507090804477885,0.0016275409195522117,400.2,39.32134815914418,8.79252074507826,382.9666593396466,417.4333406603534,400.2,39.32134815914418,8.79252074507826,382.9666593396466,417.4333406603534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.1,graph_noop,20,1.0,0.46834121874999984,0.00021489725924564982,4.8052487985166815e-05,0.46824703587354893,0.46843540162645075,0.4670865562499996,0.0002127189215776046,4.756539687479707e-05,0.466993328072125,0.4671797844278742,4.6834121875,0.0021489725924580586,0.00048052487985201706,4.682470358735491,4.68435401626451,4.682571992481199,0.0021325205170679273,0.0004768460839576886,4.681637374156642,4.683506610805756,5.01865,0.029609786788901585,0.0066209496059259155,5.005672938772385,5.031627061227615,0.16355833333333333,0.004934964464816926,0.0011034916009876516,0.16139548979539753,0.16572117687126914,1.03125e-05,4.84759503584808e-06,1.0839552027546835e-06,8.18794780260082e-06,1.243705219739918e-05,0.001325,0.0006340139463848775,0.0001417698282799493,0.0010471311365712994,0.0016028688634287006,0.0004440625,6.364720168942807e-05,1.423194695552006e-05,0.0004161678839671807,0.0004719571160328193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.479975,0.30266924256477873,0.0676789001073218,16.34732435578965,16.61262564421035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32959.95,605.3384851295574,135.3578002146436,32694.648711579295,33225.251288420695
0.1,0.1,graph_ppo,20,1.0,0.46415515000000046,0.0004516727255288204,0.0001009970917865047,0.4639571957000989,0.464353104299902,0.46265595625000067,0.0004518763426766918,0.0001010426219649072,0.46245791271094944,0.4628539997890519,4.641551499999999,0.004516727255291491,0.001009970917865782,4.639571957000983,4.643531042999016,4.638154949874679,0.004530088648384191,0.0010129586161887192,4.636169550986948,4.640140348762409,5.996775,0.003330382465786951,0.0007446961584572989,5.995315395529424,5.998234604470577,0.0005374999999999908,0.000555063744297825,0.0001241160264095498,0.0002942325882372732,0.0007807674117627084,0.0005306874999999961,4.510673562434054e-05,1.0086172709913687e-05,0.0005109186014885653,0.0005504563985114269,0.0,0.0,0.0,0.0,0.0,0.0046015,9.601654873811576e-05,2.1469952994334848e-05,0.004559418892131103,0.004643581107868896,1471.95,33.9418620585259,7.589631084578485,1457.0743230742262,1486.825676925774,1471.85,33.7393647960673,7.544351320166981,1457.0630714124727,1486.636928587527,0.1,0.4472135954999579,0.09999999999999999,-0.09599999999999997,0.296,10.084725,0.07281799137864926,0.016282597870765338,10.0528111081733,10.116638891826701,733.55,744.2815309870459,166.42640976846508,407.3542368538084,1059.7457631461916,738.4,754.8088220832722,168.7803836194741,407.5904481058308,1069.2095518941692,18697.5,136.1603157272609,30.446372180398907,18637.825110526417,18757.174889473583
0.1,0.1,left_if_safe,20,1.0,0.4641437812500004,0.0004391190060099093,9.818999476502958e-05,0.4639513288602609,0.46433623363973986,0.4626473250000009,0.0004383223650735328,9.801186043628989e-05,0.46245522175354575,0.462839428246456,4.641437812499999,0.004391190060099398,0.000981899947650364,4.639513288602604,4.643362336397393,4.638068421052619,0.004394209173670059,0.000982575041967943,4.636142573970362,4.639994268134876,5.985825,0.01807242374447884,0.004041116801083598,5.9779044110698765,5.993745588930124,0.002362500000000001,0.003012070624079806,0.0006735194668472661,0.0010424018449793594,0.0036825981550206426,0.000531374999999996,6.352307392634978e-05,1.4204191143906257e-05,0.0005035347853579397,0.0005592152146420523,0.000125,0.0005590169943749475,0.000125,-0.00011999999999999999,0.00037,0.0045761875,0.00013105372228593894,2.9304503173573858e-05,0.004518750673779796,0.004633624326220205,1455.05,25.60114101075637,5.724589160160892,1443.8298052460846,1466.2701947539153,1455.05,25.60114101075637,5.724589160160892,1443.8298052460846,1466.2701947539153,0.0,0.0,0.0,0.0,0.0,10.07445,0.0831075555498635,0.018583414365333468,10.038026507843947,10.110873492156054,1455.05,25.60114101075637,5.724589160160892,1443.8298052460846,1466.2701947539153,0.0,0.0,0.0,0.0,0.0,18693.85,162.0806410726658,36.242333127522514,18622.815027070053,18764.884972929944
0.2,0.2,baseline1_hdv,20,1.0,0.7861501187499998,0.0015824303325453744,0.0003538421793229055,0.7854565880785269,0.7868436494214728,0.7851491437500002,0.0015805567656989664,0.00035342323704000964,0.7844564342054018,0.7858418532945987,3.9307505937500005,0.007912151662728918,0.001769210896614985,3.9272829403926353,3.9342182471073657,3.930659042553193,0.007912674671836503,0.001769327845006726,3.9271911599769798,3.934126925129406,4.0039,0.041456889466173485,0.009270042298205888,3.985730717095516,4.022069282904483,0.33268333333333333,0.0069094815776955774,0.0015450070497009805,0.3296551195159194,0.33571154715074725,0.003786437500000018,0.0001532414433732118,3.4265828435268625e-05,0.0037192764762668915,0.0038535985237331447,0.004475,0.0015767638410764992,0.0003525751133110727,0.003783952777910297,0.0051660472220897025,0.0306133125,0.00022041538051394081,4.9286377411565415e-05,0.03051671120027333,0.03070991379972667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.2,baseline2_matched,20,1.0,0.7807231,0.0012408999649552938,0.00027747366749171433,0.7801792516117162,0.7812669483882838,0.7793736750000002,0.0012411031505332683,0.0002775191011681542,0.7788297375617106,0.7799176124382898,3.9036154999999995,0.006204499824774101,0.0013873683374580423,3.9008962580585815,3.9063347419414174,3.9017455569461843,0.006213282355611217,0.0013893321710546703,3.899022465890917,3.9044686480014517,5.3976999999999995,0.041936480790030865,0.00937728217836231,5.379320526930409,5.41607947306959,0.10038333333333335,0.006989413465005139,0.0015628803630603838,0.097320087821735,0.1034465788449317,0.004166812500000021,0.00013947636153711744,3.118786256513316e-05,0.00410568428937236,0.004227940710627682,0.00042500000000000003,0.000730446871154191,0.00016333288578528014,0.00010486754386085096,0.0007451324561391492,0.03254196875,0.0002316247208472484,5.1792862108386e-05,0.03244045474026756,0.03264348275973243,1818.3,190.97949738401928,42.70431384594104,1734.5995448619556,1902.0004551380443,1818.3,190.97949738401928,42.70431384594104,1734.5995448619556,1902.0004551380443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.2,graph_noop,20,1.0,0.7879295187499997,0.001330783405552,0.0002975722158142943,0.7873462772070037,0.7885127602929958,0.7869252375,0.0013312625431209661,0.0002976793542317725,0.7863417859657057,0.7875086890342943,3.93964759375,0.006653917027760466,0.0014878610790715757,3.93673138603502,3.9425638014649804,3.9395506257822297,0.006664643520005242,0.0014902595956535199,3.936629716974749,3.9424715345897106,4.017125,0.040709133528381354,0.009102838987457658,3.999283435584583,4.034966564415417,0.33047916666666666,0.006784855588063571,0.0015171398312429456,0.32750557259743046,0.33345276073590285,0.0037270312500000207,0.00016551614781991925,3.70105357899243e-05,0.003654490599851769,0.003799571900148272,0.004325,0.0018797746225489233,0.00042033038383984013,0.003501152447673913,0.005148847552326087,0.0291860625,0.00024939689588611874,5.5766841257879914e-05,0.029076759491134554,0.029295365508865443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.8309,0.35929205244114254,0.08034014530338139,33.67343331520537,33.98836668479463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67661.8,718.5841048822842,160.6802906067626,67346.86663041075,67976.73336958926
0.2,0.2,graph_ppo,20,1.0,0.7492598000000003,0.0013384719257619907,0.0002992914211978863,0.7486731888144524,0.7498464111855481,0.7477662749999998,0.0013385660272135181,0.00029931246292212596,0.7471796225726725,0.7483529274273272,3.7462989999999996,0.0066923596288095384,0.0014964571059893387,3.7433659440722606,3.7492320559277386,3.743510763454317,0.00670120664437349,0.0014984353588092382,3.740573830151051,3.7464476967575835,5.9741,0.035341417479689274,0.007902581190578451,5.958610940866466,5.989589059133534,0.004316666666666663,0.005890236246614883,0.0013170968650964095,0.0017351568110777005,0.006898176522255626,0.00886387500000001,0.00027137242568296135,6.068071910461113e-05,0.008744940790554974,0.008982809209445048,7.500000000000001e-05,0.00033541019662496844,7.5e-05,-7.199999999999999e-05,0.000222,0.0358108125,0.000311945501471263,6.975313465650048e-05,0.03567409635607326,0.03594752864392674,5392.7,219.76257523446574,49.140405713467715,5296.384804801603,5489.015195198396,5389.6,212.5794959662459,47.534220360316816,5296.432928093779,5482.767071906222,3.1,8.296479913033505,1.8551493059504458,-0.5360926396628738,6.736092639662874,20.392475,0.17374659973954187,0.038850920787706286,20.316327195256097,20.468622804743905,2146.65,2624.463198747307,586.847811684552,996.4282890982784,3296.8717109017216,3246.05,2718.1481210365887,607.7963971551138,2054.769061575977,4437.330938424024,35392.25,222.75638687754127,49.80984234804244,35294.622708997835,35489.877291002165
0.2,0.2,left_if_safe,20,1.0,0.7268816687499998,0.08831679610842642,0.019748235965343038,0.6881751262579274,0.7655882112420722,0.7254943937500001,0.08805472196701296,0.019689634405808495,0.6869027103146155,0.7640860771853848,3.634408343750002,0.44158398054213194,0.09874117982671514,3.4408756312896402,3.8279410562103635,3.632011983729663,0.4408246406358603,0.09857138626186997,3.4388120666563977,3.825211900802928,5.5491,1.0728594796886937,0.2398986726888974,5.078898601529762,6.019301398470239,0.07515000000000001,0.17880991328144896,0.039983112114816234,-0.003216899745039803,0.15351689974503982,0.03471971874999985,0.09708434900926323,0.021708720393602693,-0.007829373221461426,0.07726881072146113,0.048025,0.17793349400681616,0.03978713880732923,-0.02995779206236529,0.1260077920623653,0.03428946875,0.0041912509186342334,0.0009371921964824586,0.032452572044894386,0.03612636545510562,5024.15,465.3021966534505,104.04473417970904,4820.22232100777,5228.077678992229,5024.15,465.3021966534505,104.04473417970904,4820.22232100777,5228.077678992229,0.0,0.0,0.0,0.0,0.0,22.150025,8.433420116097933,1.8857700662409145,18.453915670167806,25.846134329832193,5024.15,465.3021966534505,104.04473417970904,4820.22232100777,5228.077678992229,0.0,0.0,0.0,0.0,0.0,39275.9,16782.939134414857,3752.77927667931,31920.452617708554,46631.34738229145
